|No Origem|  |No destino|  |Distacia|
      73---------73     =      0
      73---------26     =      29
      73---------64     =      19
      73---------28     =      49
      73---------3     =      45
      73---------40     =      67
      73---------80    =      INF
      73---------44     =      72
      73---------120     =      14
      73---------79     =      33
      73---------103     =      48
      73---------121     =      105
      73---------12    =      INF
      73---------63     =      123
      73---------75    =      INF
      73---------9    =      INF
      73---------113    =      INF
      73---------10     =      85
      73---------50     =      10
      73---------100    =      INF
      73---------25     =      28
      73---------39     =      23
      73---------116     =      37
      73---------20     =      51
      73---------66     =      44
      73---------72     =      70
      73---------38     =      83
      73---------51     =      111
      73---------29     =      45
      73---------92     =      47
      73---------65     =      77
      73---------102     =      51
      73---------33     =      34
      73---------112     =      41
      73---------18     =      30
      73---------108     =      45
      73---------46     =      36
      73---------124     =      47
      73---------37     =      55
      73---------104     =      46
      73---------88     =      104
      73---------7     =      31
      73---------97     =      20
      73---------22     =      5
      73---------0    =      INF
      73---------58     =      64
      73---------1     =      63
      73---------110     =      34
      73---------11     =      30
      73---------105     =      14
      73---------122     =      29
      73---------76     =      30
      73---------27     =      13
      73---------89     =      30
      73---------119     =      37
      73---------30     =      74
      73---------107     =      36
      73---------85     =      29
      73---------21     =      40
      73---------71     =      34
      73---------67     =      53
      73---------48     =      38
      73---------42     =      45
      73---------43     =      37
      73---------99     =      55
      73---------15     =      54
      73---------2     =      34
      73---------68     =      47
      73---------114     =      40
      73---------111     =      54
      73---------82     =      40
      73---------52     =      36
      73---------118     =      41
      73---------16     =      34
      73---------32     =      8
      73---------31     =      12
      73---------57     =      49
      73---------69     =      37
      73---------96     =      36
      73---------117     =      39
      73---------106     =      65
      73---------93     =      54
      73---------60     =      58
      73---------13     =      18
      73---------56     =      53
      73---------17     =      51
      73---------84     =      50
      73---------95     =      41
      73---------61     =      60
      73---------77     =      40
      73---------109     =      35
      73---------47     =      68
      73---------4     =      13
      73---------91     =      51
      73---------83     =      45
      73---------59     =      37
      73---------87     =      61
      73---------94     =      36
      73---------55     =      14
      73---------90     =      38
      73---------35     =      52
      73---------53     =      36
      73---------123     =      35
      73---------74     =      55
      73---------81     =      40
      73---------5     =      45
      73---------86     =      32
      73---------6     =      85
      73---------115     =      42
      73---------70     =      41
      73---------8     =      35
      73---------45     =      4
      73---------98     =      33
      73---------62     =      43
      73---------19     =      59
      73---------34     =      39
      73---------41     =      56
      73---------23     =      34
      73---------78     =      49
      73---------24     =      4
      73---------36     =      26
      73---------101     =      46
      73---------54     =      43
      73---------49     =      17
      73---------14     =      40
